BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","barany:hal-02768998","Barany, Imre & Mustafa, Nabil","An application of the universality theorem for Tverberg partitions to data depth and hitting convex sets","{Computational Geometry}",90,,"October","101649",2020,"","","https://hal.archives-ouvertes.fr/hal-02768998","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","boutry:hal-02990810","Boutry, Nicolas; Najman, Laurent & G{\'e}raud, Thierry","Topological Properties of the First Non-Local Digitally Well-Composed Interpolation on n-D Cubical Grids","{Journal of Mathematical Imaging and Vision}",62,9,"November","1256-1284",2020,"","","https://hal.archives-ouvertes.fr/hal-02990810","","","","","","{Springer Verlag}","","","","","","","","","well-composed images ; critical configurations ; digital topology ; tree of shapes ; mathematical morphology","https://hal.archives-ouvertes.fr/hal-02990810/file/boutry.20-jmiv-1.pdf",""
7,"","boutry:hal-02990817","Boutry, Nicolas; Najman, Laurent & G{\'e}raud, Thierry","Equivalence between Digital Well-Composedness and Well-Composedness in the Sense of Alexandrov on n-D Cubical Grids","{Journal of Mathematical Imaging and Vision}",62,9,"November","1285-1333",2020,"","","https://hal.archives-ouvertes.fr/hal-02990817","","","","","","{Springer Verlag}","","","","","","","","","digital topology ; discrete surfaces ; well- composed images","https://hal.archives-ouvertes.fr/hal-02990817/file/boutry.20-jmiv-2.pdf",""
7,"","boutzen:hal-02978002","Boutzen, Jocelyn; Valet, Manon; Alviset, Agathe; Fradot, Val{\'e}rie; Rousseau, Lionel; Picaud, Serge; Lissorgues, Gaelle Bazin & Fran{\c c}ais, Olivier","A detailed in-vitro study of Retinal pigment epithelium's growth as seen from the perspective of impedance spectroscopy analysis","{Biosensors and Bioelectronics}",167,,"November","112469",2020,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-02978002","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","boutzen:hal-02978002","Boutzen, Jocelyn; Valet, Manon; Alviset, Agathe; Fradot, Val{\'e}rie; Rousseau, Lionel; Picaud, Serge; Lissorgues, Gaelle Bazin & Fran{\c c}ais, Olivier","A detailed in-vitro study of Retinal pigment epithelium's growth as seen from the perspective of impedance spectroscopy analysis","{Biosensors and Bioelectronics}",167,,"November","112469",2020,"","","https://hal-upec-upem.archives-ouvertes.fr/hal-02978002","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","challa:hal-01516649","Challa, Aditya S.; Danda, Sravan; Daya Sagar, B.  S.  S. & Najman, Laurent","Power Spectral Clustering","{Journal of Mathematical Imaging and Vision}",62,9,"November","1195--1213",2020,"","","https://hal.archives-ouvertes.fr/hal-01516649","","","","","","{Springer Verlag}","","","","","","","","","MST based clustering ; Gamma convergence ; Clustering ; Multi scale combinatorial grouping ; $\Gamma$--convergence ; Image segmentation","https://hal.archives-ouvertes.fr/hal-01516649v4/file/PowerSpectral.pdf",""
7,"","fathy:hal-02478146","Fathy, Alaa; Sabry, Yasser M.; Nazeer, Sebastien; Bourouina, Tarik & Khalil, Diaa","On-chip parallel Fourier transform spectrometer for broadband selective infrared spectral sensing","{Microsystems \& Nanoengineering}",6,1,"December","",2020,"","","https://hal.archives-ouvertes.fr/hal-02478146","","","","","","{Springer Nature}","","","","","","","","","","https://hal.archives-ouvertes.fr/hal-02478146/file/s41378-019-0111-0.pdf",""
7,"","he:hal-02274860","He, Junkai; Chu, Feng; Zheng, Feifeng; Liu, Ming & Chu, Chengbin","A multi-objective distribution-free model and method for stochastic disassembly line balancing problem","{International Journal of Production Research}",58,18,"September","5721--5737",2020,"","","https://hal.archives-ouvertes.fr/hal-02274860","","","","","","{Taylor \& Francis}","","","","","","","","","Efficient ϵ-constraint method ; Recycling ; Multi-objective optimisation ; Stochastic disassembly line balancing ; Distribution-free model","",""
7,"","liu:hal-02280475","Liu, Ming; Liu, Xin; Chu, Feng; Zheng, Feifeng & Chu, Chengbin","Robust disassembly line balancing with ambiguous task processing times","{International Journal of Production Research}",58,19,"September","5806--5835",2020,"","","https://hal.archives-ouvertes.fr/hal-02280475","","","","","","{Taylor \& Francis}","","","","","","","","","Robust ; Disassembly line ; Uncertainty ; Stochastic optimisation ; Correlated task processing time","",""
7,"","lyu:hal-02919621","Lyu, Sixiang; Wang, Cheng; Zhang, Chuanyu; Royon, Laurent & Guo, Xiaofeng","Experimental characterization of a novel soft polymer heat exchanger for wastewater heat recovery","{International Journal of Heat and Mass Transfer}",161,,"November","120256",2020,"","","https://hal.archives-ouvertes.fr/hal-02919621","","","","","","{Elsevier}","","","","","","","","","","",""
