BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","abdeddaim:hal-01217197","Abdedda{\"i}m, Yasmina; Chandarli, Youn{\`e}s; Davis, Robert I. & Masson, Damien","Response time analysis for fixed priority real-time systems with energy-harvesting","{Real-Time Systems}",52,2,"March","125--160",2016,"","","https://hal.archives-ouvertes.fr/hal-01217197","","","","","","{Springer Verlag}","","","","","","","","","Energy-harvesting Scheduling ; Real-time systems ; Fixed priority ; Schedulability analysis","",""
7,"","abdeddaim:hal-01217197","Abdedda{\"i}m, Yasmina; Chandarli, Youn{\`e}s; Davis, Robert I. & Masson, Damien","Response time analysis for fixed priority real-time systems with energy-harvesting","{Real-Time Systems}",52,2,"March","125--160",2016,"","","https://hal.archives-ouvertes.fr/hal-01217197","","","","","","{Springer Verlag}","","","","","","","","","Energy-harvesting Scheduling ; Real-time systems ; Fixed priority ; Schedulability analysis","",""
7,"","alkemade:hal-01259870","Alkemade, Floortje; Heimeriks, Gaston; Schoen, Antoine; Villard, Lionel & Laurens, Patricia","Tracking the internationalization of multinational corporate inventive activity: national and sectoral characteristics","{Research Policy}",44,9,"November","1763-1772",2015,"","","https://hal.archives-ouvertes.fr/hal-01259870","","","","","","{Elsevier}","","","","","","","","","home bias ; national and sectoral innovation systems ; R\&D globalization ; patents","",""
7,"","alkemade:hal-01259870","Alkemade, Floortje; Heimeriks, Gaston; Schoen, Antoine; Villard, Lionel & Laurens, Patricia","Tracking the internationalization of multinational corporate inventive activity: national and sectoral characteristics","{Research Policy}",44,9,"November","1763-1772",2015,"","","https://hal.archives-ouvertes.fr/hal-01259870","","","","","","{Elsevier}","","","","","","","","","home bias ; national and sectoral innovation systems ; R\&D globalization ; patents","",""
7,"","allab:hal-01412062","Allab, Yacine; Pellegrino, Margot; Guo, Xiaofeng; Nefzaoui, E. & Kindinis, A.","Energy and comfort assessment in educational building: case study in a French university campus. Energy and Buildings.","{Energy and Buildings}",,,"","",2016,"","","https://hal.archives-ouvertes.fr/hal-01412062","","","","","","{Elsevier}","","","","","","","","","energy comfort university campus","",""
7,"","bendali:hal-01190753","Bendali, Amel; Rousseau, Lionel; Lissorgues, Gaelle Bazin; Scorsone, Emmanuel; Djilas, Milan; D{\'e}gardin, Julie; Dubus, Elisabeth; Fouquet, St{\'e}phane; Benosman, Ryad; Bergonzo, Philippe; Sahel, Jos{\'e}-Alain & Picaud, Serge","Synthetic 3D diamond-based electrodes for flexible retinal neuroprostheses: Model, production and in vivo biocompatibility","{Biomaterials}",67,,"October","73-83",2015,"","","https://hal.sorbonne-universite.fr/hal-01190753","","","","","","{Elsevier}","","","","","","","","","3D electrode ; Retinal prostheses ; Bipolar cell ; Gliosis ; Resolution ; Diamond","https://hal.sorbonne-universite.fr/hal-01190753/file/Bendali_Synthetic_3D.pdf",""
7,"","bodenes:hal-01303998","bod{\'e}n{\`e}s, Pierre; Lopes, F.; Pareau, D.; Fran{\c c}ais, Olivier & Le Pioufle, B.","Microdevice for studying the in situ permeabilization and characterization of Chlamydomonas reinhardtii in lipid accumulation phase","{ Algal Research - Biomass, Biofuels and Bioproducts}",16,,"June","357-367",2016,"","","https://hal.archives-ouvertes.fr/hal-01303998","","","","","","{Elsevier}","","","","","","","","","","",""
7,"","bourouina:hal-01763653","Bourouina, Tarik; Gaber, Noha; Sabry, Yasser & Marty, Fr{\'e}d{\'e}ric","Optofluidic Fabry-P\'erot Micro-Cavities Comprising Curved Surfaces for Homogeneous Liquid Refractometry-Design, Simulation, and Experimental Performance Assessment","{Denki Gakkai Ronbunshi. E, Sensa, Maikuromashin Bumonshi / IEEJ Transactions on Sensors and Micromachines}",7,4,"April","",2016,"","","https://hal.archives-ouvertes.fr/hal-01763653","","","","","","{Institute of Electrical Engineers of Japan}","","","","","","","","","","",""
7,"","bus:hal-01188993","Bus, N.; Mustafa, Nabil & Biri, Venceslas","Global Illumination Using Well-Separated Pair Decomposition","{Computer Graphics Forum}",34,8,"December","88 - 103",2015,"","","https://hal.archives-ouvertes.fr/hal-01188993","","","","","","{Wiley}","","","","","","","","","","https://hal.archives-ouvertes.fr/hal-01188993/file/BMB15b.pdf",""
7,"","bus:hal-01345860","Bus, Norbert; Garg, Shashwat; Mustafa, Nabil & Ray, Saurabh","Tighter Estimates for ϵ-nets for Disks","{Computational Geometry: Theory and Applications Computational Geometry @ ScienceDirect}",53,,"","27-35",2016,"","","https://hal.archives-ouvertes.fr/hal-01345860","","","","","","","","","","","","","","","","https://hal.archives-ouvertes.fr/hal-01345860/file/epsnetsfordisks.pdf",""
